Timestamp,Email Address,Animal,# of people interacting,Animal Position,Guest Interaction,Guest Demographics,Interaction Length,Assumed Emotion,Additional notes
5/31/2025 14:28:49,,reptile 1,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/o kids,00:28,Neutral,
5/31/2025 14:29:17,,reptile 1,3,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:42,Excitment,
5/31/2025 14:29:51,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:23,Excitment,
5/31/2025 14:31:13,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Taking pictures of animal",Friends,01:18,Neutral,
5/31/2025 14:31:50,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal, Reading signs",Couple,00:33,Neutral,
5/31/2025 14:32:43,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:47,Neutral,
5/31/2025 14:33:21,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:26,Excitment,
5/31/2025 14:33:58,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec)",Friends,00:37,Neutral,
5/31/2025 14:34:24,,reptile 1,2,Not moving (snake),Looking for animal (> 5 sec),Family w/ kids,00:07,Neutral,
5/31/2025 14:34:51,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec)",Couple,00:28,Neutral,
5/31/2025 14:35:27,,reptile 1,5+,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:52,Excitment,
5/31/2025 14:36:21,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:24,Excitment,
5/31/2025 14:37:36,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:48,Neutral,
5/31/2025 14:39:18,,reptile 1,3,Not moving (snake),"Observing animal behavior, Pointing at animal",Friends,00:09,Neutral,
5/31/2025 14:40:13,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Family w/ kids,00:11,Excitment,
5/31/2025 14:40:47,,reptile 1,2,Not moving (snake),Looking for animal (> 5 sec),Family w/ kids,00:05,Neutral,
5/31/2025 14:41:15,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Couple,00:27,Neutral,
5/31/2025 14:41:46,,reptile 1,2,Not moving (snake),"Observing animal behavior, Looking for animal (> 5 sec), Pointing at animal",Friends,00:14,Neutral,
5/31/2025 14:44:23,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:44,Excitment,
5/31/2025 14:46:44,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:34,Neutral,
5/31/2025 14:48:00,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Family w/ kids,00:11,Excitment,
5/31/2025 14:48:39,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:29,Neutral,
5/31/2025 14:49:18,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:16,Neutral,
5/31/2025 14:50:12,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:10,Neutral,
5/31/2025 14:51:16,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Taking pictures of animal",Couple,00:31,Neutral,
5/31/2025 14:52:01,,reptile 2,2,"Laying down (reptile, monkey, bear)","Observing animal behavior, Pointing at animal",Couple,00:50,Neutral,
5/31/2025 14:52:29,,reptile 2,1,"Laying down (reptile, monkey, bear)",Observing animal behavior,Single,00:15,Neutral,
5/31/2025 14:53:17,,reptile 2,2,"Laying down (reptile, monkey, bear)",Observing animal behavior,Couple,00:20,Excitment,
5/31/2025 14:58:26,,monkey 1,1,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ",Observing animal behavior,Single,00:20,Neutral,
5/31/2025 14:59:52,,monkey 1,1,"Sitting on tree (monkey or bear), Grooming ",Observing animal behavior,Single,00:44,Neutral,
5/31/2025 15:02:08,,monkey 1,4,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal, Taking pictures of animal, Trying to get animal attention",Family w/ kids,01:53,Excitment,
5/31/2025 15:04:18,,monkey 1,2,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal",Family w/o kids,02:05,Neutral,
5/31/2025 15:07:35,,monkey 1,5+,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal, Trying to get animal attention, Mimicking animal",Family w/ kids,01:34,Excitment,
5/31/2025 15:08:31,,monkey 1,2,"Sitting on tree (monkey or bear), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Taking pictures of animal",Couple,00:50,Neutral,
5/31/2025 15:10:20,,monkey 1,2,"Sitting on tree (monkey or bear), Swinging on branches (monkey), Playing with other animals (reptile, monkey, bear), Grooming ","Observing animal behavior, Pointing at animal",Family w/ kids,01:37,Excitment,
